,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
22,476,IIlIIlNNl,3,N,LAT,N,6,615,61522,67,56,24,12,4,3,2,2,2
23,478,??NNlNNl,2,I,LAT,N?,6,613,61316,46,40,16,7,3,2,1,1,1
24,497,NNl,1,N,LAT,N,9,98,985,4,4,2,2,1,1,1,1,1
25,498,?NNlXXl,2,I,LAT,NUM?,0,00,000,48,42,16,7,3,2,1,1,1
26,499,NNl,1,N,LAT,N,9,98,986,4,4,2,2,1,1,1,1,1
27,505,NNl,1,N,LAT,N,6,613,61313,4,4,2,2,1,1,1,1,1
28,515,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
29,516,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
30,517,NNl,1,N,LAT,N,8,82,820,4,4,2,2,1,1,1,1,1
31,518,NNl,1,N,LAT,N,8,80,8016,4,4,2,2,1,1,1,1,1
32,519,NNl,1,N,LAT,N,9,96,968,4,4,2,2,1,1,1,1,1
33,524,NNlNNl,2,N,LAT,N,0,00,000,45,39,15,7,3,2,1,1,1
34,530,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
35,541,NNl,1,N,LAT,N,6,613,61319,4,4,2,2,1,1,1,1,1
36,557,NNlNNl,2,N,LAT,N,0,00,000,45,39,15,7,3,2,1,1,1
37,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000,141,122,65,33,17,9,6,4,4
38,601,??NNlNngXxgXxg,4,n,GRA,N,0,00,000,121,104,50,24,11,6,4,3,3
39,603,NNlXXl,2,I,LAT,NUM?,9,98,980,42,37,15,7,3,2,1,1,1
40,605,NNlIig,2,N,LAT,N,0,00,000,23,19,7,4,2,2,1,1,1
41,623,NNlNng,2,n,GRA,N,6,65,657,21,17,7,4,2,2,1,1,1
42,636,?NNl,1,I,LAT,N?,0,00,000,3,3,2,2,1,1,1,1,1
43,639,?NNl,1,I,LAT,N?,0,00,000,3,3,2,2,1,1,1,1,1
44,643,??NNlNNlXXlIig,4,I,LAT,N?,0,00,000,130,112,56,26,12,7,4,3,3
45,649,NNl,1,N,LAT,N,9,95,959,4,4,2,2,1,1,1,1,1
46,650,NNl,1,N,LAT,N,9,95,959,4,4,2,2,1,1,1,1,1
47,658,?XXl,1,I,LAT,NUM?,9,98,986,11,9,5,3,1,1,1,1,1
48,662,???NNlXXlXXlXxg,4,X,LAT,NUM,5,52,520,127,109,54,26,12,7,4,3,3
49,663,NNl,1,N,LAT,N,9,98,986,4,4,2,2,1,1,1,1,1
50,664,?XXlXxg,2,X,LAT,NUM,0,00,000,57,47,19,9,3,2,1,1,1
51,665,?XXlXxg,2,X,LAT,NUM,6,613,61316,57,47,19,9,3,2,1,1,1
52,666,XXlXxg,2,X,LAT,NUM,8,80,8024,58,48,19,9,3,2,1,1,1
53,669,?NNl,1,I,LAT,N?,6,614,61438,3,3,2,2,1,1,1,1,1
54,673,?NNl,1,I,LAT,N?,6,614,61438,3,3,2,2,1,1,1,1,1
55,674,?NNl,1,I,LAT,N?,6,614,61438,3,3,2,2,1,1,1,1,1
56,675,?NNl,1,I,LAT,N?,6,614,61438,3,3,2,2,1,1,1,1,1
57,676,???NNlXXlXxg,3,I,LAT,N?,0,00,000,136,117,60,29,14,7,4,3,3
58,683,NNl,1,N,LAT,N,5,52,520,4,4,2,2,1,1,1,1,1
59,692,?NNlNNl,2,N,LAT,N,5,52,520,44,38,15,7,3,2,1,1,1
60,696,IIl,1,I,LAT,I,8,80,8015,13,11,5,3,1,1,1,1,1
61,697,??IIlNNlXXl,3,I,LAT,N?,8,80,8015,77,62,27,12,4,3,2,2,2
62,700,IIlXXl,2,I,LAT,I,8,80,8037,54,45,18,8,3,2,1,1,1
63,707,?NNl,1,I,LAT,N?,9,98,986,3,3,2,2,1,1,1,1,1
64,720,IIlNNl,2,N,LAT,N,0,00,000,41,36,14,7,3,2,1,1,1
65,721,?NNl,1,I,LAT,N?,6,614,61438,3,3,2,2,1,1,1,1,1
66,726,NNlNNl,2,N,LAT,N,9,99,990,45,39,15,7,3,2,1,1,1
67,728,IIl,1,I,LAT,I,9,97,974,13,11,5,3,1,1,1,1,1
68,732,IIlXXl,2,X,LAT,NUM,9,96,965,54,45,18,8,3,2,1,1,1
69,734,?XXlXxg,2,X,LAT,NUM,8,80,8015,57,47,19,9,3,2,1,1,1
70,744,?NNlXXl,2,I,LAT,NUM?,5,52,520,48,42,16,7,3,2,1,1,1
71,752,NNlPPlNng,3,n,GRA,N,6,613,61316,82,67,30,13,4,3,2,2,2
72,753,IIlIIlNNl,3,N,LAT,N,9,97,9720,67,56,24,12,4,3,2,2,2
73,768,??NNlNNl,2,I,LAT,N?,8,80,8015,46,40,16,7,3,2,1,1,1
74,769,??NNlNNl,2,I,LAT,N?,8,80,8015,46,40,16,7,3,2,1,1,1
75,770,??NNlNNl,2,I,LAT,N?,5,52,520,46,40,16,7,3,2,1,1,1
76,771,??NNlNNl,2,I,LAT,N?,5,52,520,46,40,16,7,3,2,1,1,1
77,772,??NNlNNl,2,I,LAT,N?,9,92,9218,46,40,16,7,3,2,1,1,1
78,779,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
79,780,NNl,1,N,LAT,N,9,98,984,4,4,2,2,1,1,1,1,1
80,783,?NNl,1,I,LAT,N?,0,00,000,3,3,2,2,1,1,1,1,1
81,787,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
82,797,??NNlXXl,2,I,LAT,NUM?,0,00,000,47,41,16,7,3,2,1,1,1
83,811,?IIlXXlIig,3,I,LAT,NUM?,8,80,8015,63,52,22,11,4,3,2,2,2
84,812,IIl,1,I,LAT,I,6,615,61520,13,11,5,3,1,1,1,1,1
85,826,??NNlXXl,2,I,LAT,NUM?,8,82,8221,47,41,16,7,3,2,1,1,1
86,838,?IIlIIlNNl,3,I,LAT,I,0,00,000,68,56,24,12,4,3,2,2,2
87,842,IIlIIl,2,I,LAT,I,8,80,8015,55,45,18,8,3,2,1,1,1
88,869,IIl,1,I,LAT,I,6,614,61438,13,11,5,3,1,1,1,1,1
89,893,?NNl,1,I,LAT,N?,0,00,000,3,3,2,2,1,1,1,1,1
90,902,IIlNNl,2,I,LAT,I,0,00,000,41,36,14,7,3,2,1,1,1
91,913,?XXl,1,I,LAT,NUM?,5,52,520,11,9,5,3,1,1,1,1,1
92,956,Nng,1,n,GRA,N,9,95,950,2,2,1,1,1,1,1,1,1
93,957,Iig,1,i,GRA,I,0,00,000,7,6,4,3,1,1,1,1,1
94,963,Nng,1,n,GRA,N,5,52,520,2,2,1,1,1,1,1,1,1
95,970,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
96,971,IigNng,2,n,GRA,N,5,52,521,38,33,13,6,2,2,1,1,1
97,972,Iig,1,i,GRA,I,8,80,8015,7,6,4,3,1,1,1,1,1
98,973,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
99,974,Nng,1,n,GRA,N,6,613,61316,2,2,1,1,1,1,1,1,1
100,975,Nng,1,n,GRA,N,5,52,520,2,2,1,1,1,1,1,1,1
101,976,IigNng,2,n,GRA,N,5,52,520,38,33,13,6,2,2,1,1,1
102,977,?NngPpg,2,n,GRA,N,6,613,61316,30,26,10,5,2,2,1,1,1
103,978,?IigNngPpg,3,n,GRA,N,6,613,61316,98,81,38,17,7,4,2,2,2
104,979,?IigNngPpg,3,n,GRA,N,6,613,61316,98,81,38,17,7,4,2,2,2
105,980,?IigNngPpg,3,n,GRA,N,6,613,61316,98,81,38,17,7,4,2,2,2
106,981,?IigNngPpg,3,n,GRA,N,6,613,61316,98,81,38,17,7,4,2,2,2
107,982,??NngPpgXxg,3,n,GRA,N,6,613,61316,96,79,37,16,6,4,2,2,2
108,995,?IigNng,2,i,GRA,N?,9,95,950,39,34,13,6,2,2,1,1,1
109,1002,IigNngPpg,3,n,GRA,N,0,00,000,99,82,38,17,7,4,2,2,2
110,1004,Ppg,1,p,GRA,P,6,614,61438,9,7,4,3,1,1,1,1,1
111,1005,IigPpg,2,i,GRA,I,8,80,805,37,32,12,6,2,2,1,1,1
112,1030,???NNlNNlIigPpg,4,i,GRA,P?,0,00,000,131,113,57,27,12,7,4,3,3
113,1032,XXlIig,2,X,LAT,NUM,8,80,8015,59,49,20,9,3,2,1,1,1
114,1033,XXlIig,2,i,GRA,I,8,82,8239,59,49,20,9,3,2,1,1,1
115,1047,?XXlIig,2,I,LAT,NUM?,6,613,61313,61,50,20,9,3,2,1,1,1
116,1057,Nng,1,n,GRA,N,5,51,5118,2,2,1,1,1,1,1,1,1
117,1058,Nng,1,n,GRA,N,5,52,520,2,2,1,1,1,1,1,1,1
118,1059,Nng,1,n,GRA,N,5,52,520,2,2,1,1,1,1,1,1,1
119,1060,Nng,1,n,GRA,N,6,616,61611,2,2,1,1,1,1,1,1,1
120,1062,IigNng,2,n,GRA,N,5,52,520,38,33,13,6,2,2,1,1,1
121,1063,IigNng,2,n,GRA,N,5,52,520,38,33,13,6,2,2,1,1,1
122,1064,IigNng,2,n,GRA,N,6,616,61611,38,33,13,6,2,2,1,1,1
123,1080,?NNlXXl,2,X,LAT,NUM,6,613,61316,48,42,16,7,3,2,1,1,1
124,1086,Nng,1,n,GRA,N,8,80,8015,2,2,1,1,1,1,1,1,1
125,1089,Nng,1,n,GRA,N,5,52,5218,2,2,1,1,1,1,1,1,1
126,1090,Nng,1,n,GRA,N,5,52,521,2,2,1,1,1,1,1,1,1
127,1091,Nng,1,n,GRA,N,5,52,521,2,2,1,1,1,1,1,1,1
128,1092,Nng,1,n,GRA,N,5,52,521,2,2,1,1,1,1,1,1,1
129,1093,Nng,1,n,GRA,N,5,52,521,2,2,1,1,1,1,1,1,1
130,1096,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
131,1097,Nng,1,n,GRA,N,9,97,974,2,2,1,1,1,1,1,1,1
132,1098,Nng,1,n,GRA,N,6,65,657,2,2,1,1,1,1,1,1,1
133,1099,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
134,1100,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
135,1101,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
136,1103,?NngXxg,2,n,GRA,N,9,92,9217,33,29,10,5,2,2,1,1,1
137,1104,IIlNng,2,I,LAT,I,9,92,9217,20,16,6,4,2,2,1,1,1
138,1105,Nng,1,n,GRA,N,9,92,9217,2,2,1,1,1,1,1,1,1
139,1106,Nng,1,n,GRA,N,9,92,9217,2,2,1,1,1,1,1,1,1
140,1107,?NngXxg,2,n,GRA,N,9,92,9217,33,29,10,5,2,2,1,1,1
141,1108,??NngXxgXxg,3,i,GRA,NUM?,9,92,9217,95,79,37,16,6,4,2,2,2
142,1109,IigNng,2,i,GRA,I,9,92,9217,38,33,13,6,2,2,1,1,1
143,1110,IigNng,2,i,GRA,I,9,92,9217,38,33,13,6,2,2,1,1,1
144,1111,Nng,1,n,GRA,N,6,613,61316,2,2,1,1,1,1,1,1,1
145,1112,Nng,1,n,GRA,N,6,613,61316,2,2,1,1,1,1,1,1,1
146,1121,Nng,1,n,GRA,N,8,80,8015,2,2,1,1,1,1,1,1,1
147,1125,Nng,1,n,GRA,N,0,00,000,2,2,1,1,1,1,1,1,1
148,1127,?IigXxg,2,n,GRA,N,0,00,000,34,30,11,6,2,2,1,1,1
149,1128,??NngXxgXxg,3,n,GRA,N,0,00,000,95,79,37,16,6,4,2,2,2
150,1129,?NngXxg,2,n,GRA,N,6,615,6156,33,29,10,5,2,2,1,1,1
151,1130,??NngXxgXxg,3,n,GRA,N,0,00,000,95,79,37,16,6,4,2,2,2
152,1131,??NngXxgXxg,3,n,GRA,N,0,00,000,95,79,37,16,6,4,2,2,2
153,1132,???SSSNngXxgXxgXxg,5,S,\N,S,6,613,61316,138,119,62,30,15,8,5,4,4
154,1133,??NngXxgXxg,3,i,GRA,NUM?,0,00,000,95,79,37,16,6,4,2,2,2
155,1151,IigIig,2,i,GRA,I,0,00,000,36,32,12,6,2,2,1,1,1
156,1156,?XXlIigNng,3,n,GRA,N,0,00,000,109,92,42,18,7,4,2,2,2
157,1163,IigIig,2,i,GRA,I,6,613,61316,36,32,12,6,2,2,1,1,1
158,1165,?IigXxg,2,i,GRA,NUM?,0,00,000,34,30,11,6,2,2,1,1,1
159,1169,NngXxg,2,x,GRA,NUM,0,00,000,27,23,8,5,2,2,1,1,1
160,1174,??NngNngNngNngPpg,5,n,GRA,N,5,52,520,116,99,46,20,8,5,3,3,3
161,1175,??NNlNngNngNngPpgXxg,6,n,GRA,N,0,00,000,139,120,63,31,15,8,5,4,4
162,1176,NngPpg,2,p,GRA,P,5,52,520,26,22,8,5,2,2,1,1,1
163,1177,NngPpg,2,n,GRA,N,0,00,000,26,22,8,5,2,2,1,1,1
164,1178,?NngPpgXxg,3,n,GRA,N,8,80,8015,92,77,36,16,6,4,2,2,2
165,1179,NngPpg,2,n,GRA,N,5,52,520,26,22,8,5,2,2,1,1,1
166,1180,NngPpg,2,n,GRA,N,6,614,61412,26,22,8,5,2,2,1,1,1
167,1181,NngPpgXxg,3,p,GRA,P,8,80,8015,94,78,36,16,6,4,2,2,2
168,1182,NngPpg,2,p,GRA,P,5,52,520,26,22,8,5,2,2,1,1,1
169,1183,NngNngPpg,3,x,GRA,NUM,6,613,61316,105,88,40,17,7,4,2,2,2
170,1184,NngPpg,2,n,GRA,N,0,00,000,26,22,8,5,2,2,1,1,1
171,1185,?NngPpgXxg,3,n,GRA,N,5,52,520,92,77,36,16,6,4,2,2,2
172,1190,XXlNngPpgXxg,4,X,LAT,NUM,6,613,61316,119,102,49,23,11,6,4,3,3
173,1191,...?Ppg,2,...,\N,...,5,52,520,62,51,21,10,3,2,1,1,1
174,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000,93,78,36,16,6,4,2,2,2
175,1196,NngXxgXxg,3,n,GRA,N,8,82,8239,93,78,36,16,6,4,2,2,2
176,1210,?IigXxg,2,i,GRA,NUM?,6,613,61316,34,30,11,6,2,2,1,1,1
177,1211,NngPpg,2,n,GRA,N,5,52,527,26,22,8,5,2,2,1,1,1
178,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000,120,103,49,23,11,6,4,3,3
179,1223,Nng,1,n,GRA,N,8,80,8015,2,2,1,1,1,1,1,1,1
180,1226,?Xxg,1,i,GRA,NUM?,5,52,520,5,5,3,3,1,1,1,1,1
181,1227,?Xxg,1,i,GRA,NUM?,5,52,520,5,5,3,3,1,1,1,1,1
182,1228,?Xxg,1,i,GRA,NUM?,5,52,520,5,5,3,3,1,1,1,1,1
183,1229,?Xxg,1,i,GRA,NUM?,5,52,520,5,5,3,3,1,1,1,1,1
184,1230,?Xxg,1,i,GRA,NUM?,5,52,520,5,5,3,3,1,1,1,1,1
185,1240,?IigXxg,2,i,GRA,NUM?,0,00,000,34,30,11,6,2,2,1,1,1
186,1241,??IigNngXxg,3,i,GRA,NUM?,0,00,000,100,83,38,17,7,4,2,2,2
187,1245,??NngNng,2,i,GRA,N?,9,96,965,29,25,9,5,2,2,1,1,1
188,1246,??NngNng,2,i,GRA,N?,9,98,984,29,25,9,5,2,2,1,1,1
189,1247,??NngNng,2,i,GRA,N?,6,616,61612,29,25,9,5,2,2,1,1,1
190,1259,???NngXxgXxgXxg,4,n,GRA,N,5,52,520,118,101,48,22,10,5,3,3,3
191,1262,?NngXxg,2,i,GRA,NUM?,9,96,964,33,29,10,5,2,2,1,1,1
192,1263,IigNng,2,i,GRA,I,5,52,5218,38,33,13,6,2,2,1,1,1
193,1273,IigNng,2,i,GRA,I,5,52,520,38,33,13,6,2,2,1,1,1
194,1280,NngNng,2,n,GRA,N,6,613,61316,25,21,8,5,2,2,1,1,1
195,1283,IigIig,2,i,GRA,I,1,12,1220,36,32,12,6,2,2,1,1,1
196,1284,IigIig,2,i,GRA,I,1,12,1220,36,32,12,6,2,2,1,1,1
197,1285,IigIig,2,i,GRA,I,1,12,1220,36,32,12,6,2,2,1,1,1
198,1294,Iig,1,i,GRA,I,6,615,61522,7,6,4,3,1,1,1,1,1
199,1297,IigXxg,2,x,GRA,NUM,5,52,520,35,31,11,6,2,2,1,1,1
200,1300,Nng,1,n,GRA,N,8,82,8229,2,2,1,1,1,1,1,1,1
201,1301,IigNng,2,n,GRA,N,8,80,8015,38,33,13,6,2,2,1,1,1
202,1304,?NngXxg,2,n,GRA,n,6,613,61316,33,29,10,5,2,2,1,1,1
203,1305,??NNlNngNng,3,n,GRA,N,6,614,61438,88,73,33,14,5,4,2,2,2
204,1306,??NNlNngNng,3,n,GRA,N,6,614,61438,88,73,33,14,5,4,2,2,2
205,1307,??NNlNngNng,3,n,GRA,N,6,614,61438,88,73,33,14,5,4,2,2,2
206,1308,??NNlNngNng,3,n,GRA,N,6,614,61438,88,73,33,14,5,4,2,2,2
207,1309,?IigXxg,2,i,GRA,NUM?,6,614,61438,34,30,11,6,2,2,1,1,1
208,1310,???NNlNngNng,3,I,LAT,N?,6,614,61438,87,72,33,14,5,4,2,2,2
209,1311,???NNlNngNng,3,I,LAT,N?,6,614,61438,87,72,33,14,5,4,2,2,2
210,1312,?IigXxg,2,i,GRA,NUM?,6,614,61438,34,30,11,6,2,2,1,1,1
211,1315,?NngXxg,2,i,GRA,NUM?,9,98,986,33,29,10,5,2,2,1,1,1
212,1316,?Nng,1,i,GRA,N?,0,00,000,1,1,1,1,1,1,1,1,1
213,1317,??IIlNngNngXxg,4,i,GRA,NUM?,9,99,990,125,107,52,24,11,6,4,3,3
214,1319,Iig,1,i,GRA,I,5,52,520,7,6,4,3,1,1,1,1,1
215,1330,?IigXxg,2,i,GRA,NUM?,0,00,000,34,30,11,6,2,2,1,1,1
216,1332,NNl,1,N,LAT,N,0,00,000,4,4,2,2,1,1,1,1,1
217,1333,?IIlNNlNng,3,N,LAT,N,0,00,000,78,63,28,13,4,3,2,2,2
218,1334,??NNlNngNngXxg,4,N,LAT,N,0,00,000,122,104,50,24,11,6,4,3,3
219,1335,??NNlNngXxgXxg,4,N,LAT,N,0,00,000,121,104,50,24,11,6,4,3,3
220,1352,?Xxg,1,i,GRA,NUM?,0,00,000,5,5,3,3,1,1,1,1,1
221,1353,IIl,1,I,LAT,I,0,00,000,13,11,5,3,1,1,1,1,1
222,1373,...IigIig,3,...,\N,...,0,00,000,111,94,43,18,7,4,2,2,2
223,1411,Ccg,1,c,GRA,C,5,52,520,8,7,4,3,1,1,1,1,1
224,1412,Ccg,1,c,GRA,C,5,52,520,8,7,4,3,1,1,1,1,1
225,1417,NNlPPlPpg,3,N,LAT,N,0,00,000,83,68,30,13,4,3,2,2,2
226,1421,NNlNNlIig,3,N,LAT,N,5,52,520,80,65,29,13,4,3,2,2,2
227,1426,IIlIIlIIlNNlSSSIig,6,S,\N,S,5,51,5115,142,123,66,34,18,10,7,4,4
228,1427,IIlNNl,2,I,LAT,I,5,52,520,41,36,14,7,3,2,1,1,1
229,1428,???IIlNNlXXlXxg,4,I,LAT,I,9,98,986,128,110,54,26,12,7,4,3,3
230,1436,IigIig,2,i,GRA,I,1,110,1107,36,32,12,6,2,2,1,1,1
231,1446,?NngXxg,2,n,GRA,N,1,18,180,33,29,10,5,2,2,1,1,1
232,1447,Nng,1,n,GRA,N,1,18,180,2,2,1,1,1,1,1,1,1
233,1448,Nng,1,n,GRA,N,1,18,180,2,2,1,1,1,1,1,1,1
234,1449,Nng,1,n,GRA,N,1,18,180,2,2,1,1,1,1,1,1,1
235,1453,?Nng,1,i,GRA,N?,1,18,181,1,1,1,1,1,1,1,1,1
236,1460,Iig,1,i,GRA,I,1,110,11013,7,6,4,3,1,1,1,1,1
237,1461,Iig,1,i,GRA,I,1,18,1817,7,6,4,3,1,1,1,1,1
238,1481,Iig,1,i,GRA,I,1,18,1815,7,6,4,3,1,1,1,1,1
239,1495,??XxgXxg,2,i,GRA,NUM?,3,31,315,91,76,35,15,6,4,2,2,2
240,1496,??XxgXxg,2,i,GRA,NUM?,1,110,1107,91,76,35,15,6,4,2,2,2
241,1500,??NngXxg,2,i,GRA,NUM?,1,18,1818,32,28,10,5,2,2,1,1,1
242,1502,NNl,1,N,LAT,N,extra moe0ia,extra moe0ia0,extra moe0ia00,4,4,2,2,1,1,1,1,1
243,1503,???NNlNngNng,3,i,GRA,N?,1,18,180,87,72,33,14,5,4,2,2,2
244,1504,???NNlNngNng,3,i,GRA,N?,1,18,180,87,72,33,14,5,4,2,2,2
245,1505,???NNlNngNng,3,i,GRA,N?,1,18,180,87,72,33,14,5,4,2,2,2
246,1506,???NNlNngNng,3,i,GRA,N?,1,18,180,87,72,33,14,5,4,2,2,2
247,1507,?NNl,1,I,LAT,N?,1,18,180,3,3,2,2,1,1,1,1,1
248,1508,Nng,1,n,GRA,N,1,17,1715,2,2,1,1,1,1,1,1,1
249,1509,Nng,1,n,GRA,N,1,18,1810,2,2,1,1,1,1,1,1,1
250,1510,Nng,1,n,GRA,N,1,17,1715,2,2,1,1,1,1,1,1,1
251,1513,Nng,1,n,GRA,N,1,18,180,2,2,1,1,1,1,1,1,1
252,1514,NngNng,2,n,GRA,N,1,17,1715,25,21,8,5,2,2,1,1,1
253,1517,?IigXxg,2,i,GRA,NUM?,1,18,1817,34,30,11,6,2,2,1,1,1
254,1518,Iig,1,i,GRA,I,extra moe0ia,extra moe0ia0,extra moe0ia00,7,6,4,3,1,1,1,1,1
255,1533,Nng,1,n,GRA,N,1,17,1715,2,2,1,1,1,1,1,1,1
256,1534,Nng,1,n,GRA,N,1,17,1715,2,2,1,1,1,1,1,1,1
257,1537,Nng,1,n,GRA,N,1,18,1813,2,2,1,1,1,1,1,1,1
258,1538,IigIigPpg,3,i,GRA,I,1,17,1715,112,95,43,18,7,4,2,2,2
259,1540,NngPpg,2,n,GRA,N,1,111,1112,26,22,8,5,2,2,1,1,1
260,1541,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
261,1542,?NngPpgXxg,3,n,GRA,N,1,18,180,92,77,36,16,6,4,2,2,2
262,1543,?NngPpgXxg,3,n,GRA,N,1,18,180,92,77,36,16,6,4,2,2,2
263,1544,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
264,1545,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
265,1546,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
266,1547,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
267,1548,NngPpg,2,n,GRA,N,1,18,180,26,22,8,5,2,2,1,1,1
268,1549,IigNng,2,n,GRA,N,1,18,180,38,33,13,6,2,2,1,1,1
269,1550,?NngPpgXxg,3,n,GRA,N,1,18,180,92,77,36,16,6,4,2,2,2
270,1551,IigNng,2,n,GRA,N,1,18,180,38,33,13,6,2,2,1,1,1
271,1552,IigIigNng,3,n,GRA,N,1,18,1815,107,90,42,18,7,4,2,2,2
272,1553,Nng,1,n,GRA,N,1,18,180,2,2,1,1,1,1,1,1,1
273,1554,Nng,1,n,GRA,N,2,24,247,2,2,1,1,1,1,1,1,1
274,1569,Nng,1,n,GRA,N,1,110,1101,2,2,1,1,1,1,1,1,1
275,1572,?SSSIigXxg,3,S,\N,S,1,18,180,115,98,45,19,7,4,2,2,2
276,1574,NngNng,2,n,GRA,N,1,17,171,25,21,8,5,2,2,1,1,1
277,1587,?NngNng,2,n,GRA,N,1,19,1912,28,24,9,5,2,2,1,1,1
278,1588,?NngNng,2,n,GRA,N,1,19,1912,28,24,9,5,2,2,1,1,1
279,1589,??NngXxg,2,i,GRA,N?,2,24,247,32,28,10,5,2,2,1,1,1
280,1590,Nng,1,n,GRA,N,1,19,1912,2,2,1,1,1,1,1,1,1
281,1597,?NNlNNlIig,3,N,LAT,N,1,19,1912,81,66,29,13,4,3,2,2,2
282,1598,?NngXxg,2,i,GRA,NUM?,2,21,219,33,29,10,5,2,2,1,1,1
283,1603,Iig,1,i,GRA,I,1,19,1912,7,6,4,3,1,1,1,1,1
284,1604,IigNng,2,n,GRA,N,1,19,1912,38,33,13,6,2,2,1,1,1
285,1605,XXlIigIig,3,X,LAT,NUM,1,19,1912,110,93,43,18,7,4,2,2,2
286,1607,???NngNngXxg,3,i,GRA,N?,1,19,1912,97,80,37,16,6,4,2,2,2
287,1608,??NngXxg,2,i,GRA,N?,1,19,199,32,28,10,5,2,2,1,1,1
288,1610,?Nng,1,i,GRA,N?,2,24,242,1,1,1,1,1,1,1,1,1
289,1617,??XxgXxg,2,i,GRA,NUM?,2,26,266,91,76,35,15,6,4,2,2,2
290,1618,??XxgXxg,2,i,GRA,NUM?,2,21,2111,91,76,35,15,6,4,2,2,2
291,1619,??XxgXxg,2,i,GRA,NUM?,2,21,219,91,76,35,15,6,4,2,2,2
292,1620,??XxgXxg,2,i,GRA,NUM?,2,211,2112,91,76,35,15,6,4,2,2,2
293,1621,??XxgXxg,2,i,GRA,NUM?,2,26,264,91,76,35,15,6,4,2,2,2
294,1623,??XxgXxg,2,i,GRA,NUM?,1,19,199,91,76,35,15,6,4,2,2,2
295,1624,??XxgXxg,2,i,GRA,NUM?,2,21,2111,91,76,35,15,6,4,2,2,2
296,1629,Nng,1,n,GRA,N,2,211,2112,2,2,1,1,1,1,1,1,1
